id,mode,film_a,film_b,lens,chunk_count,film_match_rate,theme_match_rate,concrete_evidence_rate,plot_summary_rate,source_diversity,source_role_diversity,source_roles,chunk_roles,film_counts,source_system_phrase_count,comparison_balance_pass,overall
analyze_memento_memory,analyze_film,memento,,Memory,12,1.0,1.0,1.0,0.0,7,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 3, ""formal_observation"": 7, ""scene_evidence"": 2}","{""memento"": 12}",1,True,pass
analyze_black_swan_performance,analyze_film,black-swan,,Performance,12,1.0,1.0,0.833,0.167,8,5,creator_voice|criticism|production_context|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 5, ""interpretive_claim"": 1, ""plot_summary"": 2, ""scene_evidence"": 2}","{""black-swan"": 12}",1,True,pass
analyze_taxi_driver_isolation,analyze_film,taxi-driver,,Isolation,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 2}","{""taxi-driver"": 12}",1,True,pass
analyze_machinist_guilt,analyze_film,the-machinist,,Guilt,12,1.0,1.0,0.917,0.083,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 3, ""interpretive_claim"": 2, ""plot_summary"": 1, ""scene_evidence"": 2}","{""the-machinist"": 12}",1,True,pass
analyze_donnie_darko_reality,analyze_film,donnie-darko,,Reality vs Illusion,12,1.0,1.0,1.0,0.0,7,3,criticism|scholarship|screenplay,"{""formal_observation"": 9, ""interpretive_claim"": 1, ""scene_evidence"": 2}","{""donnie-darko"": 12}",1,True,pass
analyze_truman_control,analyze_film,truman-show,,Control,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 2}","{""truman-show"": 12}",2,True,pass
analyze_gone_girl_performance,analyze_film,gone-girl,,Performance,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 4}","{""gone-girl"": 12}",0,True,pass
analyze_prisoners_justice,analyze_film,prisoners,,Justice,12,1.0,1.0,1.0,0.0,7,4,creator_voice|criticism|production_context|screenplay,"{""creator_commentary"": 2, ""formal_observation"": 5, ""interpretive_claim"": 3, ""scene_evidence"": 2}","{""prisoners"": 12}",0,True,pass
analyze_fight_club_identity,analyze_film,fight-club,,Identity,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 2}","{""fight-club"": 12}",3,True,pass
analyze_se7en_justice,analyze_film,se7en,,Justice,12,1.0,1.0,1.0,0.0,6,4,creator_voice|criticism|scholarship|screenplay,"{""creator_commentary"": 4, ""formal_observation"": 4, ""interpretive_claim"": 2, ""scene_evidence"": 2}","{""se7en"": 12}",0,True,pass
